iter	F1	Logloss
255	0.219047619	0.4875571005
256	0.219047619	0.4872359047
257	0.2176330421	0.4868671637
258	0.219047619	0.4863812919
259	0.2204599524	0.485509522
260	0.2204599524	0.4851585877
261	0.2218700475	0.4848693571
262	0.231678487	0.4840354846
263	0.231678487	0.4838088188
264	0.2330708661	0.4833885607
265	0.2358490566	0.4831258706
266	0.2358490566	0.4829361214
267	0.24	0.4826247166
268	0.24	0.4819239774
269	0.2455043002	0.4812580036
270	0.2455043002	0.4807882853
271	0.246875	0.4805557895
272	0.2496099844	0.4800491983
273	0.2523364486	0.4796455514
274	0.2536964981	0.4793935812
275	0.2604651163	0.4787972945
276	0.2604651163	0.4781573062
277	0.2591155935	0.4776597687
278	0.2618125484	0.4774128585
279	0.2631578947	0.477165639
280	0.272517321	0.4764031505
281	0.2778204144	0.476104677
282	0.2791411043	0.4757541781
283	0.2804597701	0.4755055557
284	0.2857142857	0.4750761306
285	0.2883295195	0.4747370483
286	0.2883295195	0.4745020305
287	0.2896341463	0.4740375883
288	0.290936786	0.4737675329
289	0.290936786	0.4734823927
290	0.2948328267	0.4732033066
291	0.2935361217	0.4727161512
292	0.2935361217	0.4720205218
293	0.2961275626	0.4716414281
294	0.2974203338	0.4713327963
295	0.2974203338	0.4710757234
296	0.3051359517	0.4703631882
297	0.3051359517	0.4701124686
298	0.3025718608	0.4696835313
299	0.3089675961	0.4684435204
